Rk,Nation,# Players,Min,List
1,fr France,222,"192,660","Marie-Antoinette Katoto, Kadidiatou Diani, Clarisse Le Bihan, Viviane Asseyi, GaÃ«tane Thiney, Amel Majri, Lea Khelifi, LÃ©a Le Garrec, EugÃ©nie Le Sommer, LÃ©a Declercq ..."
2,us United States,8,"7,448","Daphne Corboz, Casey Murphy, Danielle Tolmais, Rachel Corboz, Hannah Diaz, Maddie Bauer, Alana Cook, Sarah Teegarden"
3,ca Canada,7,"6,971","Vanessa Gilles, MÃ©lissa Roy, Alexandria Lamontagne, Ashley Lawrence, Kadeisha Buchanan, ValÃ©rie Sanderson, Rebecca Quinn"
4,be Belgium,6,"5,221","Janice Cayman, Maud Coutereels, Silke Demeyere, Chrystal Lermusiaux, Jana Coryn, Davinia Vanmechelen"
5,se Sweden,6,"4,909","Sofia Jakobsson, Linda Sembrant, Stina Blackstenius, Hanna Glas, Emma Berglund, Marija BanuÅ¡iÄ‡"
6,br Brazil,5,"5,514","Simone JatobÃ¡, Kathellen, Formiga, Daiane, Carol Rodriguez"
7,cm Cameroon,5,"3,769","Claudine Meffometou, Aurelle Awona, Laetitia Chapeh, Michaela Abam, Easther Mayi Kith"
8,de Germany,4,"2,674","Dzsenifer MarozsÃ¡n, Carolin Simon, Lisa WeiÃŸ, Charlotte Voll"
9,tr Turkey,3,"2,235","Ä°pek Kaya, Melike Pekel, Selen Altunkulak"
10,dk Denmark,3,"1,018","Signe Bruun, Nadia Nadim, Katrine Veje"
11,pl Poland,2,"2,741","Paulina Dudek, Katarzyna Kiedrzynek"
12,nl Netherlands,2,"2,662","Shanice van de Sanden, Anouk Dekker"
13,es Spain,2,"2,159","Virginia Torrecilla, Irene Paredes"
14,eng England,2,"2,011","Lucy Bronze, Izzy Christiansen"
15,no Norway,2,"1,723","Ada Hegerberg, Andrine Hegerberg"
16,ru Russia,2,"1,324","Ekaterina TyryÅ¡kina, Marina Fedorova"
17,ch Switzerland,2,976,"Eseosa Aigbogun, Camille Surdez"
18,fi Finland,1,"1,739",Linda SÃ¤llstrÃ¶m
19,ro Romania,1,"1,614",Anne-Marie BÄƒnuÈ›Äƒ
20,at Austria,1,"1,456",Sarah Puntigam
21,nz New Zealand,1,"1,440",Erin Nayler
22,jp Japan,1,"1,422",Saki Kumagai
23,cn China PR,1,"1,263",Wang Shuang
24,mq Martinique,1,"1,185",AurÃ©lie Rouge
25,ng Nigeria,1,"1,132",Desire Oparanozie
26,wal Wales,1,968,Jess Fishlock
27,ma Morocco,1,708,Salma Amani
28,cl Chile,1,575,Christiane Endler
29,ht Haiti,1,452,Nerilia Mondesir
30,gn Guinea,1,332,Fatoumata BaldÃ©
31,ar Argentina,1,302,Florencia Soledad Jaimes
32,dz Algeria,1,238,Morgane Belkhiter
33,mg Madagascar,1,71,Juliette Merle
34,pt Portugal,1,,OcÃ©ane BrandÃ£o
