,Year,Frauen-Bundesliga,Ligue 1,NWSL,Serie A,WSL
0,2014,0.0,0.0,0.2631578947368421,0.0,0.0
1,2015,0.0,0.0,0.25757575757575757,0.0,0.0
2,2016,0.0,0.0,0.2641509433962264,0.0,0.0
3,2017,0.3238993710691824,0.0,0.25925925925925924,0.0,0.3005181347150259
4,2018,0.3125,0.21241830065359477,0.27631578947368424,0.0,0.3614457831325301
5,2019,0.3092105263157895,0.26,0.28936170212765955,0.21587301587301588,0.39543726235741444
6,2020,0.28938906752411575,0.31010452961672474,0.25296442687747034,0.2996845425867508,0.43214285714285716
7,2021,0.33666666666666667,0.3633440514469453,0.28413284132841327,0.29941860465116277,0.45051194539249145
