,Nation,# Players sum,latitude,longitude
0,Albania,1,41.0,20.0
1,Argentina,2,-34.0,-64.0
2,Australia,20,-25.0,135.0
3,Austria,21,47.33333,13.33333
4,Belgium,4,50.75,4.5
5,Bosnia and Herzegovina,3,44.25,17.83333
6,Brazil,11,-10.0,-55.0
7,Bulgaria,1,42.66667,25.25
8,Cameroon,7,6.0,12.5
9,Canada,29,60.10867,-113.64258
10,Chile,2,-33.45694,-70.64827
11,Colombia,2,4.0,-73.25
12,Costa Rica,3,10.0,-84.0
13,Croatia,5,45.16667,15.5
14,Czech Republic,5,49.75,15.0
15,Denmark,23,56.0,10.0
16,Dominican Republic,1,19.0,-70.66667
17,England,178,54.7584,-2.69531
18,Estonia,1,59.0,26.0
19,Finland,10,64.0,26.0
20,France,214,46.0,2.0
21,Germany,222,51.5,10.5
22,Ghana,1,8.1,-1.2
23,Greece,3,39.0,22.0
24,Guatemala,1,14.64072,-90.51327
25,Haiti,5,19.0,-72.41667
26,Hungary,7,47.0,20.0
27,Iceland,13,65.0,-18.0
28,Ireland,12,53.0,-8.0
29,Italy,242,42.83333,12.83333
30,Jamaica,8,18.16667,-77.25
31,Japan,12,35.68536,139.75309
32,Kosovo,1,,
33,Latvia,1,57.0,25.0
34,Mali,1,18.0,-2.0
35,Malta,3,35.91667,14.43333
36,Martinique,1,14.66667,-61.0
37,Mexico,6,19.42847,-99.12766
38,Morocco,1,32.0,-6.0
39,Netherlands,26,52.25,5.75
40,New Zealand,10,-42.0,174.0
41,Nigeria,7,10.0,8.0
42,Norway,15,62.0,10.0
43,Poland,11,52.0,20.0
44,Portugal,4,39.6945,-8.13057
45,Romania,4,46.0,25.0
46,Russia,2,60.0,100.0
47,San Marino,2,43.93667,12.44639
48,Scotland,21,54.7584,-2.69531
49,Scotland,1,54.7584,-2.69531
50,Serbia,1,44.81892,20.45998
51,Slovenia,8,46.08333,15.0
52,South Africa,1,-29.0,24.0
53,South Korea,4,36.5,127.75
54,Spain,9,40.0,-4.0
55,Sweden,24,62.0,15.0
56,Switzerland,21,47.00016,8.01427
57,Turkey,2,39.0,35.0
58,Ukraine,2,49.0,32.0
59,United States,231,39.76,-98.5
60,Venezuela,1,8.0,-66.0
61,Wales,13,54.7584,-2.69531
62,Wales,2,54.7584,-2.69531
