Rk,Nation,# Players,Min,List
1,us United States,180,"148,399","Jessica McDonald, Lynn Williams, Kealia Watt, Sofia Huerta, Kristen Edmonds, Shea Groom, Stephanie McCaffrey, Vanessa DiBernardo, Christine Nairn, Tobin Heath ..."
2,ca Canada,11,"10,002","Christine Sinclair, Kaylyn Kyle, Janine Beckie, Desiree Scott, Diana Matheson, JosÃ©e BÃ©langer, Sabrina D'Angelo, Shelina Zadorsky, Stephanie LabbÃ©, Allysha Chapman ..."
3,au Australia,9,"8,569","Kyah Simon, Lydia Williams, Ellie Brush, Alanna Kennedy, Steph Catley, Sam Kerr, Hayley Raso, Laura Alleway, Lisa De Vanna"
4,eng England,5,"4,738","Rachel Daly, Lianne Sanderson, Leah Galton, Chioma Ubogagu, Natasha Dowie"
5,br Brazil,4,"4,042","Andressinha, Poliana, Monica Hickmann Alves, Leah Fortune"
6,nz New Zealand,3,"2,433","Abby Erceg, Katie Bowen, Erin Nayler"
7,sco Scotland,2,"2,800","Kim Little, Rachel Corsie"
8,dk Denmark,2,"1,790","Nadia Nadim, Line Jensen"
9,cr Costa Rica,2,"1,464","Raquel RodrÃ­guez, Anna MarÃ­a Gilbertson Rojas"
10,jp Japan,2,"1,304","Nahomi Kawasumi, Rumi Utsugi"
11,jm Jamaica,2,"1,054","Cheyna Matthews, Havana Solaun"
12,fr France,2,738,"Amandine Henry, Ghoutia Karchouni"
13,ng Nigeria,2,675,"Francisca Ordega, Halimatu Ayinde"
14,mx Mexico,2,450,"Bianca Henninger, MÃ³nica Alvarado"
15,se Sweden,1,"1,428",Louise Schillgard
16,wal Wales,1,"1,390",Jess Fishlock
17,ie Ireland,1,"1,313",Denise O'Sullivan
18,is Iceland,1,"1,072",DagnÃ½ BrynjarsdÃ³ttir
19,nl Netherlands,1,"1,051",Manon Melis
20,cm Cameroon,1,990,Estelle Johnson
21,ar Argentina,1,887,EstefanÃ­a Banini
22,pt Portugal,1,664,Amanda DaCosta
23,de Germany,1,658,Eunice Beckmann
24,be Belgium,1,96,Janice Cayman
25,kr South Korea,1,86,Jeon Ga-eul
26,bm Bermuda,1,54,Dominique Richardson
27,co Colombia,1,52,Lady Andrade
28,il Israel,1,42,Danielle Schulmann
29,ba Bosnia and Herzegovina,1,,DiDi Haracic
