Rk,Nation,# Players,Min,List
1,fr France,198,"116,633","Marie-Antoinette Katoto, Kadidiatou Diani, Faustine Robert, Clara MatÃ©o, Wendie Renard, Kessya Bussy, Sandy Baltimore, GaÃ«tane Thiney, Louise Fleury, LÃ©a Le Garrec ..."
2,us United States,20,"14,611","Shnia Gordon, Phallon Tullis-Joyce, Deja Davis, Ashley Clark, Daphne Corboz, Kayla Mills, Alexis Thornton, Genessee Daughetee, Allison Pantuso, Celeste Boureille ..."
3,de Germany,8,"7,151","Dzsenifer MarozsÃ¡n, Lena Petermann, Sara DÃ¤britz, Leonie Pankratz, Rachel Avant, Lisa Schmitz, Claire Savin, Charlotte Voll"
4,ca Canada,8,"5,659","Evelyne Viens, Ashley Lawrence, Kadeisha Buchanan, Vanessa Gilles, Jordyn Huitema, Paige Culver, Vanessa GrÃ©goire, Latifah Abdu"
5,nl Netherlands,5,"4,140","Katja Snoeijs, Ashleigh Van Weerden, Vita van der Linden, Anouk Dekker, Shanice van de Sanden"
6,is Iceland,5,"3,781","Berglind BjÃ¶rg ÃžorvaldsdÃ³ttir, Anna BjÃ¶rk KristjÃ¡nsdÃ³ttir, Sara BjÃ¶rk GunnarsdÃ³ttir, Andrea RÃ¡n HauksdÃ³ttir, Svava RÃ³s GuÃ°mundsdÃ³ttir"
7,dk Denmark,5,"3,649","Nadia Nadim, Cecilie Sandvej, Luna Gevitz, Signe Bruun, Kamilla Lilhammer Karlsen"
8,ht Haiti,5,"3,611","Nerilia Mondesir, Batcheba Louis, Kethna Louis, Roselord Borgella, Chelsea Surpris"
9,eng England,5,"3,459","Nikita Parris, Anna Moorhouse, Grace Rapp, Jodie Taylor, Jenna Dear"
10,cm Cameroon,5,"3,163","Easther Mayi Kith, Aurelle Awona, Grace Ngok Yango, Claudine Meffometou, Henriette Akaba"
11,ch Switzerland,5,"3,099","Nina Stapelfeldt, Eseosa Aigbogun, Ramona Bachmann, Coumba Sow, Sally Julini"
12,au Australia,4,"3,166","Mary Fowler, Ellie Carpenter, Laura Alleway, Emma Checker"
13,es Spain,4,"1,640","Irene Paredes, Dolores Gallardo, Damaris Egurrola, Clara Creus Fabregat"
14,br Brazil,3,"2,222","Formiga, Luana, Natascha"
15,se Sweden,3,"1,359","Julia Spetsmark, Marija BanuÅ¡iÄ‡, Michelle De Jongh"
16,fi Finland,3,919,"Linda SÃ¤llstrÃ¶m, Adelina Engman, Katriina Talaslahti"
17,cl Chile,2,"2,583","Christiane Endler, Francisca Lara"
18,pl Poland,2,"2,180","Dominika Grabowska, Paulina Dudek"
19,ng Nigeria,2,"1,809","Desire Oparanozie, Chiamaka Nnadozie"
20,ua Ukraine,2,"1,761","Darya Kravets, Tetyana Romanenko"
21,ru Russia,2,619,"Ekaterina TyryÅ¡kina, Olesya Arsenyeva"
22,hr Croatia,1,"1,473",Iva Landeka
23,jm Jamaica,1,"1,379",Bunny Shaw
24,pt Portugal,1,"1,326",MÃ©lissa Gomes
25,sk Slovakia,1,"1,078",Dominika Å korvÃ¡nkovÃ¡
26,at Austria,1,950,Sarah Puntigam
27,jp Japan,1,872,Saki Kumagai
28,cr Costa Rica,1,773,Melissa Herrera
29,ma Morocco,1,581,Salma Amani
30,ml Mali,1,479,Aissata TraorÃ©
31,be Belgium,1,413,Janice Cayman
32,tr Turkey,1,401,Melike Pekel
33,no Norway,1,281,Anja SÃ¸nstevold
34,mq Martinique,1,228,LÃ©a Sotier
35,it Italy,1,205,Elena Linari
36,pf Tahiti,1,99,Vaihei Samin
