Rk,Nation,# Players,Min,List
1,de Germany,215,"164,611","Mandy Islacker, Lina Magull, Alexandra Popp, Svenja Huth, Charline Hartmann, Julia Arnold, Hasret Kayikci, Leonie Pankratz, Carolin Simon, Tabea Kemme ..."
2,ch Switzerland,15,"17,983","Rahel Kiwic, Lara Dickenmann, Martina Moser, Cinzia Zehnder, Isabelle Meyer, Rachel Rinast, Eseosa Aigbogun, Lia WÃ¤lti, Ana-Maria CrnogorÄeviÄ‡, Caroline AbbÃ© ..."
3,at Austria,14,"15,445","Nina Burger, Virginia Kirchberger, Sarah Puntigam, Nicole Billa, Sarah Zadrazil, Carina Wenninger, Laura Feiersinger, Viktoria Schnaderbeck, Verena Aschauer, Manuela Zinsberger ..."
4,nl Netherlands,8,"6,474","Vivianne Miedema, Jackie Groenen, Claudia van den Heiligenberg, Stefanie van der Gragt, Liv Aerts, Kelsey Geraedts, Jacintha Weimar, Kyara Queis"
5,ca Canada,5,"4,295","Sophie Schmidt, Shannon Woeller, Rachel Melhado, Danica Wu, Chelsea Stewart"
6,pl Poland,5,"1,348","Ewa Pajor, Silvana Chojnowski, Julia Matuschewski, Jolanta SiwiÅ„ska, Nicole Eckerle"
7,hu Hungary,4,"4,728","ZsÃ³fia RÃ¡cz, Henrietta CsiszÃ¡r, DÃ³ra Zeller, Zsanett Jakabfi"
8,us United States,4,"3,812","Gina Lewandowski, Chioma Igwe, Bryane Heaberlin, Claire Falknor"
9,dk Denmark,3,"3,755","Cecilie Sandvej, Pernille Harder, Lise Munk"
10,jp Japan,3,"2,952","YÅ«ki Nagasato, Kozue Ando, Mana Iwabuchi"
11,hr Croatia,3,"2,911","Martina TufekoviÄ‡, Ivana Rudelic, Ivana SlipÄeviÄ‡"
12,pt Portugal,3,"2,685","Dolores Silva, Ana Cristina Oliveira Leite, Laura Luis"
13,sco Scotland,2,"3,018","Sophie Howard, Lisa Evans"
14,cz Czech Republic,2,"2,317","Lucie VoÅˆkovÃ¡, Jana SedlÃ¡ÄkovÃ¡"
15,se Sweden,2,"2,213","Nilla Fischer, Fridolina RolfÃ¶"
16,no Norway,2,"2,183","Caroline Graham Hansen, Nora Holstad Berge"
17,rs Serbia,2,"2,158","Anne Catherine Kufner, Jovana DamnjanoviÄ‡"
18,sk Slovakia,2,"1,915","Dominika Å korvÃ¡nkovÃ¡, Jana VojtekovÃ¡"
19,be Belgium,2,"1,849","Tessa Wullaert, Justien Odeurs"
20,au Australia,2,"1,717","Elise Kellond-Knight, Emily van Egmond"
21,il Israel,2,"1,703","Lee Falkon, Sharon Beck"
22,ba Bosnia and Herzegovina,2,897,"Milena NikoliÄ‡, Lidija KuliÅ¡"
23,it Italy,2,195,"Valentina Oppedisano, Laura Giuliani"
24,nz New Zealand,1,"1,881",Amber Hearn
25,ie Ireland,1,"1,616",Diane Caldwell
26,jm Jamaica,1,"1,570",Tiffany Cameron
27,is Iceland,1,"1,299",Sara BjÃ¶rk GunnarsdÃ³ttir
28,fi Finland,1,"1,080",Tinja-Riikka Korpela
29,fr France,1,692,Ã‰lise Bussaglia
30,br Brazil,1,492,LetÃ­cia Santos
31,gr Greece,1,451,Sofia Nati
32,si Slovenia,1,407,Lara PraÅ¡nikar
33,al Albania,1,299,Furtuna Velaj
34,mk North Macedonia,1,70,Gentjana Rochi
35,tr Turkey,1,14,Melike Pekel
36,xk Kosovo,1,1,Valentina Limani
37,jo Jordan,1,,Sarah Abu Sabbah
