Rk,Nation,# Players,Min,List
1,it Italy,222,"122,825","Cristiana Girelli, Daniela Sabatino, Tatiana Bonetti, Valentina Giacinti, Gloria Marinelli, Cecilia Prugna, Benedetta Glionna, Melania Martinovic, Stefania Tarenzi, Valentina Cernoia ..."
2,si Slovenia,8,"5,923","Dominika ÄŒonÄ, Sara KetiÅ¡, Kaja ErÅ¾en, Nika Babnik, Lara IvanuÅ¡a, Tina Marolt, Pamela BegiÄ, TjaÅ¡a Tibaut"
3,fi Finland,7,"6,388","Anna Auvinen, Paula Myllyoja, Nora Heroum, Tuija Hyyrynen, Henna Honkanen, Linda Nyman, Emma SantamÃ¤ki"
4,se Sweden,7,"5,865","Jenny Hjohlman, Linda Sembrant, Julia Molin, Stephanie Ã–hrstrÃ¶m, Sara Nilsson, Ã…sa Emelie Helmvall, Petronella Ekroth"
5,cz Czech Republic,5,"3,159","Kamila DubcovÃ¡, Michaela DubcovÃ¡, Eva BartoÅˆovÃ¡, Andrea StaÅ¡kovÃ¡, KristÃ½na SivÃ¡kovÃ¡"
6,dk Denmark,4,"3,909","Sofie Junge Pedersen, Amalie Thestrup, Frederikke ThÃ¸gersen, Janni Arnth"
7,fr France,4,"3,255","Lindsey Thomas, Julie Debever, Laura Agard, Annahita Zamanian"
8,be Belgium,4,"2,992","Diede Lemey, Davina Philtjens, Ella Van Kerkhoven, Heleen Jaques"
9,us United States,3,"2,831","Janelle Cordia, Grace Cutler, Emily Garnier"
10,ca Canada,3,"2,218","Maegan Kelly, Paige Culver, Carla Portillo"
11,eng England,3,"2,170","Millie Chandarana, Karin Muya, Eniola Aluko"
12,no Norway,3,"2,167","Andrine Hegerberg, Stine Hovland, Varin Ness"
13,de Germany,3,"2,114","Tamar Dongus, Stephanie Breitner, Florin Wagner"
14,pl Poland,3,"1,811","Madison SoÅ‚ow, Aleksandra Sikora, Karin Czezcka"
15,hr Croatia,3,733,"Sandra Å½igiÄ‡, Doris BaÄiÄ‡, Mia Kalasic"
16,co Colombia,3,577,"Lady Andrade, Yoreli RincÃ³n, Catalina PÃ©rez"
17,ro Romania,2,"2,589","Cristina Carp, Camelia Ceasar"
18,jp Japan,2,"2,520","Shino Kunisawa, Mizuho Kato"
19,mt Malta,2,"1,788","Shona Zammit, Emma Lipman"
20,es Spain,2,"1,670","Aina Torres, Paloma LÃ¡zaro"
21,br Brazil,2,"1,482","Andressa, Maria Alves"
22,nl Netherlands,2,705,"Corina Luijks, Sofieke Jansen"
23,is Iceland,2,667,"Berglind BjÃ¶rg ÃžorvaldsdÃ³ttir, Andrea Mist PÃ¡lsdÃ³ttir"
24,bg Bulgaria,2,540,"Dessislava Dupuy, Simona Petkova"
25,ie Ireland,2,526,"Lois Roche, Stephanie Roche"
26,gr Greece,2,507,"Sophia Koggouli, Maria Palama"
27,pt Portugal,2,79,"Andreia Norton, MÃ³nica Mendes"
28,za South Africa,1,"1,282",Refiloe Jane
29,sk Slovakia,1,"1,260",MÃ¡ria KorenÄiovÃ¡
30,jm Jamaica,1,"1,063",Allyson Swaby
31,au Australia,1,825,Lisa De Vanna
32,ch Switzerland,1,824,Vanessa Bernauer
33,al Albania,1,479,Alma Hilaj
34,sco Scotland,1,43,Lana Clelland
35,pe Peru,1,22,Claudia Cagnina
36,ba Bosnia and Herzegovina,1,3,Lidija KuliÅ¡
37,pf Tahiti,1,,Marika Fontana
