Rk,Nation,# Players,Min,List
1,eng England,159,"124,848","Nikita Parris, Beth Mead, Fara Williams, Georgia Stanway, Charlie Wellings, Keira Walsh, Lucy Staniforth, Bethany England, Courtney Sweetman-Kirk, Brooke Chaplen ..."
2,sco Scotland,18,"18,283","Erin Cuthbert, Lucy Graham, Kim Little, Jane Ross, Caroline Weir, Frankie Brown, Chloe Arthur, Lisa Evans, Jennifer Beattie, Christie Murray ..."
3,wal Wales,17,"15,188","Natasha Harding, Hayley Ladd, Kayleigh Green, Loren Dykes, Angharad James, Gemma Evans, Georgia Evans, Sophie Ingle, Nicola Cousins, Rhiannon Roberts ..."
4,ie Ireland,12,"10,712","Katie McCabe, Grace Moloney, Louise Quinn, Niamh Fahey, Marie Hourihan, Leanne Kiernan, Harriet Scott, Megan Connolly, Sophie Perry, Heather Payne ..."
5,nl Netherlands,10,"11,608","Vivianne Miedema, DaniÃ«lle van de Donk, Inessa Kaagman, Dominique Janssen, Danique Kerkdijk, Siri Worm, Lucienne Reichardt, Esmee de Graaf, Dominique Bruinenberg, Sari van Veenendaal"
6,de Germany,6,"3,697","Julia Simic, Anke PreuÃŸ, Ann-Katrin Berger, Marisa Ewers, Pauline Bremer, Tabea Kemme"
7,se Sweden,5,"4,365","Magdalena Eriksson, Jonna Andersson, Hedvig Lindahl, Amanda NildÃ©n, Jessica Samuelsson"
8,nz New Zealand,5,"1,987","Ria Percival, Ali Riley, Katie Rood, Monique Fischer, Olivia Chance"
9,us United States,4,"5,257","Brianna Visalli, Erin Simon, Satara Murray, Brooke Hendrix"
10,nir Northern Ireland,4,"4,047","Simone Magill, Rachel Furness, Laura Rafferty, Becky Flaherty"
11,dk Denmark,4,"1,051","Katrine Veje, Janni Arnth, Nadia Nadim, Mie Leth Jans"
12,ch Switzerland,3,"3,846","Alisha Lehmann, Ramona Bachmann, Lia WÃ¤lti"
13,be Belgium,3,"3,768","Julie Biesmans, Tessa Wullaert, Yana Daniels"
14,kr South Korea,2,"2,000","Ji So-yun, Cho So-hyun"
15,fi Finland,2,"1,253","Juliette Kemppi, Adelina Engman"
16,no Norway,2,870,"Maren Mjelde, Maria Thorisdottir"
17,ca Canada,2,638,"Janine Beckie, Adriana Leon"
18,ng Nigeria,1,"1,237",Iniabasi Umotong
19,fr France,1,"1,170",Pauline Peyraud Magnin
20,is Iceland,1,208,Rakel HÃ¶nnudÃ³ttir
21,at Austria,1,104,Viktoria Schnaderbeck
22,pt Portugal,1,,Ana Albuquerque
