,Nation,# Players sum,latitude,longitude
0,Afghanistan,1,33.0,66.0
1,Albania,3,41.0,20.0
2,Algeria,1,28.0,3.0
3,Argentina,2,-34.0,-64.0
4,Australia,11,-25.0,135.0
5,Austria,24,47.33333,13.33333
6,Belgium,13,50.75,4.5
7,Bosnia and Herzegovina,2,44.25,17.83333
8,Brazil,16,-10.0,-55.0
9,Bulgaria,3,42.66667,25.25
10,Cameroon,7,6.0,12.5
11,Canada,27,60.10867,-113.64258
12,Chile,2,-33.45694,-70.64827
13,Costa Rica,1,10.0,-84.0
14,Croatia,4,45.16667,15.5
15,Czech Republic,2,49.75,15.0
16,Denmark,12,56.0,10.0
17,England,168,54.7584,-2.69531
18,Estonia,1,59.0,26.0
19,Finland,8,64.0,26.0
20,France,224,46.0,2.0
21,Germany,224,51.5,10.5
22,Ghana,2,8.1,-1.2
23,Greece,3,39.0,22.0
24,Guinea,1,10.83333,-10.66667
25,Haiti,1,19.0,-72.41667
26,Hungary,4,47.0,20.0
27,Iceland,6,65.0,-18.0
28,Ireland,18,53.0,-8.0
29,Israel,1,31.5,34.75
30,Italy,248,42.83333,12.83333
31,Jamaica,4,18.16667,-77.25
32,Japan,8,35.68536,139.75309
33,Jordan,1,31.0,36.0
34,Madagascar,1,-20.0,47.0
35,Malta,1,35.91667,14.43333
36,Martinique,1,14.66667,-61.0
37,Mexico,2,19.42847,-99.12766
38,Morocco,1,32.0,-6.0
39,Netherlands,21,52.25,5.75
40,New Zealand,12,-42.0,174.0
41,Nigeria,3,10.0,8.0
42,Norway,7,62.0,10.0
43,Poland,7,52.0,20.0
44,Portugal,7,39.6945,-8.13057
45,Romania,6,46.0,25.0
46,Russia,2,60.0,100.0
47,Scotland,21,54.7584,-2.69531
48,Serbia,3,44.81892,20.45998
49,Slovenia,3,46.08333,15.0
50,South Africa,3,-29.0,24.0
51,South Korea,3,36.5,127.75
52,Spain,3,40.0,-4.0
53,Sweden,20,62.0,15.0
54,Switzerland,18,47.00016,8.01427
55,Turkey,3,39.0,35.0
56,United States,186,39.76,-98.5
57,Wales,19,54.7584,-2.69531
