,Nation,# Players sum,latitude,longitude
0,Afghanistan,1,33.0,66.0
1,Albania,3,41.0,20.0
2,Algeria,1,28.0,3.0
3,Australia,20,-25.0,135.0
4,Austria,20,47.33333,13.33333
5,Belgium,7,50.75,4.5
6,Bosnia and Herzegovina,3,44.25,17.83333
7,Brazil,13,-10.0,-55.0
8,Bulgaria,2,42.66667,25.25
9,Cameroon,5,6.0,12.5
10,Canada,28,60.10867,-113.64258
11,Chile,1,-33.45694,-70.64827
12,Colombia,3,4.0,-73.25
13,Costa Rica,2,10.0,-84.0
14,Croatia,6,45.16667,15.5
15,Czech Republic,8,49.75,15.0
16,Denmark,15,56.0,10.0
17,England,171,54.7584,-2.69531
18,Finland,10,64.0,26.0
19,France,209,46.0,2.0
20,Germany,238,51.5,10.5
21,Greece,2,39.0,22.0
22,Haiti,1,19.0,-72.41667
23,Hungary,3,47.0,20.0
24,Iceland,8,65.0,-18.0
25,Ireland,19,53.0,-8.0
26,Israel,1,31.5,34.75
27,Italy,225,42.83333,12.83333
28,Jamaica,5,18.16667,-77.25
29,Japan,8,35.68536,139.75309
30,Kosovo,2,,
31,Madagascar,1,-20.0,47.0
32,Mali,1,18.0,-2.0
33,Malta,2,35.91667,14.43333
34,Martinique,2,14.66667,-61.0
35,Mexico,5,19.42847,-99.12766
36,Netherlands,22,52.25,5.75
37,New Zealand,10,-42.0,174.0
38,Nigeria,2,10.0,8.0
39,Norway,16,62.0,10.0
40,Peru,1,-10.0,-75.25
41,Poland,11,52.0,20.0
42,Portugal,7,39.6945,-8.13057
43,Romania,2,46.0,25.0
44,Russia,1,60.0,100.0
45,Scotland,26,54.7584,-2.69531
46,Serbia,2,44.81892,20.45998
47,Slovenia,11,46.08333,15.0
48,South Africa,1,-29.0,24.0
49,South Korea,4,36.5,127.75
50,Spain,5,40.0,-4.0
51,Sweden,19,62.0,15.0
52,Switzerland,18,47.00016,8.01427
53,Turkey,3,39.0,35.0
54,Ukraine,2,49.0,32.0
55,United States,210,39.76,-98.5
56,Wales,15,54.7584,-2.69531
